Datum;Kontobezeichnung;Nummer;Beschreibung;Bemerkung;Buchungstext;Kategorie;Kontoart;Aktion;Abgleichen;Nach m. Währung;Von m. Währung;Nach numerisch;Von numerisch;Nach Kurs;Von Kurs
15.09.2016;Haushalt;;Rentokil;;;Girokonto;T;;N;50,00 €;;50,00;;;
;;;;;;Haushalt;S;;N;50,00 €;;50,00;;1,00;
;;;;;;Girokonto;S;;N;;-50,00 €;;-50,00;;1,00
01.10.2016;Haushalt;;Rentokil Stefan;;;Bargeld;T;;N;-50,00 €;;-50,00;;;
;;;;;;Bargeld;S;;N;;50,00 €;;50,00;;1,00
;;;;;;Haushalt;S;;N;-50,00 €;;-50,00;;1,00;
02.10.2016;Haushalt;;soda patrone;;;Bargeld;T;;N;8,50 €;;8,50;;;
;;;;;;Haushalt;S;;N;8,50 €;;8,50;;1,00;
;;;;;;Bargeld;S;;N;;-8,50 €;;-8,50;;1,00
04.10.2016;Haushalt;;Kleiderschrank;;;Girokonto;T;;N;146,98 €;;146,98;;;
;;;;;;Haushalt;S;;N;146,98 €;;146,98;;1,00;
;;;;;;Girokonto;S;;N;;-146,98 €;;-146,98;;1,00
04.10.2016;Haushalt;;Rechen;;;Girokonto;T;;N;32,97 €;;32,97;;;
;;;;;;Haushalt;S;;N;32,97 €;;32,97;;1,00;
;;;;;;Girokonto;S;;N;;-32,97 €;;-32,97;;1,00
26.10.2016;Haushalt;;DM;;;Girokonto;T;;N;28,20 €;;28,20;;;
;;;;;;Haushalt;S;;N;28,20 €;;28,20;;1,00;
;;;;;;Girokonto;S;;N;;-28,20 €;;-28,20;;1,00
01.12.2016;Haushalt;;Ikea;;;Girokonto;T;;N;208,00 €;;208,00;;;
;;;;;;Haushalt;S;;N;208,00 €;;208,00;;1,00;
;;;;;;Girokonto;S;;N;;-208,00 €;;-208,00;;1,00
14.03.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;43,64 €;;43,64;;;
;;;;;;Haushalt;S;;N;43,64 €;;43,64;;1,00;
;;;;;;Girokonto;S;;N;;-43,64 €;;-43,64;;1,00
27.03.2017;Haushalt;;DM;;;Girokonto;T;;N;8,90 €;;8,90;;;
;;;;;;Haushalt;S;;N;8,90 €;;8,90;;1,00;
;;;;;;Girokonto;S;;N;;-8,90 €;;-8,90;;1,00
05.04.2017;Haushalt;;Moskitonetz Amazon;;;Girokonto;T;;N;11,99 €;;11,99;;;
;;;;;;Haushalt;S;;N;11,99 €;;11,99;;1,00;
;;;;;;Girokonto;S;;N;;-11,99 €;;-11,99;;1,00
24.04.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;11,50 €;;11,50;;;
;;;;;;Haushalt;S;;N;11,50 €;;11,50;;1,00;
;;;;;;Girokonto;S;;N;;-11,50 €;;-11,50;;1,00
21.08.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;23,54 €;;23,54;;;
;;;;;;Haushalt;S;;N;23,54 €;;23,54;;1,00;
;;;;;;Girokonto;S;;N;;-23,54 €;;-23,54;;1,00
23.08.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;86,26 €;;86,26;;;
;;;;;;Haushalt;S;;N;86,26 €;;86,26;;1,00;
;;;;;;Girokonto;S;;N;;-86,26 €;;-86,26;;1,00
23.08.2017;Haushalt;;Enviras;;;Girokonto;T;;N;40,70 €;;40,70;;;
;;;;;;Haushalt;S;;N;40,70 €;;40,70;;1,00;
;;;;;;Girokonto;S;;N;;-40,70 €;;-40,70;;1,00
25.08.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;43,79 €;;43,79;;;
;;;;;;Haushalt;S;;N;43,79 €;;43,79;;1,00;
;;;;;;Girokonto;S;;N;;-43,79 €;;-43,79;;1,00
28.08.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;42,16 €;;42,16;;;
;;;;;;Haushalt;S;;N;42,16 €;;42,16;;1,00;
;;;;;;Girokonto;S;;N;;-42,16 €;;-42,16;;1,00
28.08.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;49,69 €;;49,69;;;
;;;;;;Haushalt;S;;N;49,69 €;;49,69;;1,00;
;;;;;;Girokonto;S;;N;;-49,69 €;;-49,69;;1,00
29.08.2017;Haushalt;;Baumarkt;;;Girokonto;T;;N;13,80 €;;13,80;;;
;;;;;;Haushalt;S;;N;13,80 €;;13,80;;1,00;
;;;;;;Girokonto;S;;N;;-13,80 €;;-13,80;;1,00
05.09.2017;Haushalt;;Kieselgur Klebeband;;;Girokonto;T;;N;45,78 €;;45,78;;;
;;;;;;Haushalt;S;;N;45,78 €;;45,78;;1,00;
;;;;;;Girokonto;S;;N;;-45,78 €;;-45,78;;1,00
06.09.2017;Haushalt;;Kieselgur Spray;;;Girokonto;T;;N;25,90 €;;25,90;;;
;;;;;;Haushalt;S;;N;25,90 €;;25,90;;1,00;
;;;;;;Girokonto;S;;N;;-25,90 €;;-25,90;;1,00
08.09.2017;Haushalt;;Pulversprüher;;;Girokonto;T;;N;8,90 €;;8,90;;;
;;;;;;Haushalt;S;;N;8,90 €;;8,90;;1,00;
;;;;;;Girokonto;S;;N;;-8,90 €;;-8,90;;1,00
08.09.2017;Haushalt;;Kieselgur Pulver;;;Girokonto;T;;N;17,90 €;;17,90;;;
;;;;;;Haushalt;S;;N;17,90 €;;17,90;;1,00;
;;;;;;Girokonto;S;;N;;-17,90 €;;-17,90;;1,00
27.09.2017;Haushalt;;Bettbezug;;;Girokonto;T;;N;42,95 €;;42,95;;;
;;;;;;Haushalt;S;;N;42,95 €;;42,95;;1,00;
;;;;;;Girokonto;S;;N;;-42,95 €;;-42,95;;1,00
16.10.2017;Haushalt;;Boss;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Haushalt;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
06.11.2017;Haushalt;;DM;;;Girokonto;T;;N;13,10 €;;13,10;;;
;;;;;;Haushalt;S;;N;13,10 €;;13,10;;1,00;
;;;;;;Girokonto;S;;N;;-13,10 €;;-13,10;;1,00
11.12.2017;Haushalt;;DM;;;Girokonto;T;;N;11,95 €;;11,95;;;
;;;;;;Haushalt;S;;N;11,95 €;;11,95;;1,00;
;;;;;;Girokonto;S;;N;;-11,95 €;;-11,95;;1,00
12.12.2017;Haushalt;;DM;;;Girokonto;T;;N;8,70 €;;8,70;;;
;;;;;;Haushalt;S;;N;8,70 €;;8,70;;1,00;
;;;;;;Girokonto;S;;N;;-8,70 €;;-8,70;;1,00
23.01.2018;Haushalt;;Wasserkocher;;;Girokonto;T;;N;64,90 €;;64,90;;;
;;;;;;Haushalt;S;;N;64,90 €;;64,90;;1,00;
;;;;;;Girokonto;S;;N;;-64,90 €;;-64,90;;1,00
05.02.2018;Haushalt;;Kochplatte;;;Girokonto;T;;N;22,44 €;;22,44;;;
;;;;;;Haushalt;S;;N;22,44 €;;22,44;;1,00;
;;;;;;Girokonto;S;;N;;-22,44 €;;-22,44;;1,00
15.03.2018;Haushalt;;Bettwanzen;;;Girokonto;T;;N;699,00 €;;699,00;;;
;;;;;;Haushalt;S;;N;699,00 €;;699,00;;1,00;
;;;;;;Girokonto;S;;N;;-699,00 €;;-699,00;;1,00
11.04.2018;Haushalt;;Bettwanzen;;;Girokonto;T;;N;-699,00 €;;-699,00;;;
;;;;;;Girokonto;S;;N;;699,00 €;;699,00;;1,00
;;;;;;Haushalt;S;;N;-699,00 €;;-699,00;;1,00;
17.04.2018;Haushalt;;Geldbeutel;;;Girokonto;T;;N;14,90 €;;14,90;;;
;;;;;;Haushalt;S;;N;14,90 €;;14,90;;1,00;
;;;;;;Girokonto;S;;N;;-14,90 €;;-14,90;;1,00
18.04.2018;Haushalt;;DM;;;Girokonto;T;;N;10,90 €;;10,90;;;
;;;;;;Haushalt;S;;N;10,90 €;;10,90;;1,00;
;;;;;;Girokonto;S;;N;;-10,90 €;;-10,90;;1,00
01.06.2018;Haushalt;;Wohnunganzeige BNN;;;Girokonto;T;;N;25,00 €;;25,00;;;
;;;;;;Haushalt;S;;N;25,00 €;;25,00;;1,00;
;;;;;;Girokonto;S;;N;;-25,00 €;;-25,00;;1,00
15.06.2018;Haushalt;;Matraze Bett1;;;Girokonto;T;;N;329,00 €;;329,00;;;
;;;;;;Haushalt;S;;N;329,00 €;;329,00;;1,00;
;;;;;;Girokonto;S;;N;;-329,00 €;;-329,00;;1,00
25.06.2018;Haushalt;;Rossmann;;;Girokonto;T;;N;17,41 €;;17,41;;;
;;;;;;Haushalt;S;;N;17,41 €;;17,41;;1,00;
;;;;;;Girokonto;S;;N;;-17,41 €;;-17,41;;1,00
26.06.2018;Haushalt;;Baumarkt;;;Girokonto;T;;N;77,10 €;;77,10;;;
;;;;;;Haushalt;S;;N;77,10 €;;77,10;;1,00;
;;;;;;Girokonto;S;;N;;-77,10 €;;-77,10;;1,00
26.06.2018;Haushalt;;Schuhpflege;;;Girokonto;T;;N;24,19 €;;24,19;;;
;;;;;;Haushalt;S;;N;24,19 €;;24,19;;1,00;
;;;;;;Girokonto;S;;N;;-24,19 €;;-24,19;;1,00
26.06.2018;Haushalt;;Bettlaken;;;Girokonto;T;;N;17,50 €;;17,50;;;
;;;;;;Haushalt;S;;N;17,50 €;;17,50;;1,00;
;;;;;;Girokonto;S;;N;;-17,50 €;;-17,50;;1,00
12.07.2018;Haushalt;;Nachsendeantrag;;;Girokonto;T;;N;19,90 €;;19,90;;;
;;;;;;Haushalt;S;;N;19,90 €;;19,90;;1,00;
;;;;;;Girokonto;S;;N;;-19,90 €;;-19,90;;1,00
13.08.2018;Haushalt;;Baumarkt;;;Girokonto;T;;N;13,94 €;;13,94;;;
;;;;;;Haushalt;S;;N;13,94 €;;13,94;;1,00;
;;;;;;Girokonto;S;;N;;-13,94 €;;-13,94;;1,00
17.08.2018;Haushalt;;DM;;;Girokonto;T;;N;12,55 €;;12,55;;;
;;;;;;Haushalt;S;;N;12,55 €;;12,55;;1,00;
;;;;;;Girokonto;S;;N;;-12,55 €;;-12,55;;1,00
27.08.2018;Haushalt;;Scheck-IN;;;Girokonto;T;;N;22,97 €;;22,97;;;
;;;;;;Haushalt;S;;N;22,97 €;;22,97;;1,00;
;;;;;;Girokonto;S;;N;;-22,97 €;;-22,97;;1,00
01.09.2018;Haushalt;;Wäsche;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Haushalt;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
11.09.2018;Haushalt;;Baumarkt;;;Girokonto;T;;N;5,50 €;;5,50;;;
;;;;;;Haushalt;S;;N;5,50 €;;5,50;;1,00;
;;;;;;Girokonto;S;;N;;-5,50 €;;-5,50;;1,00
18.09.2018;Haushalt;;Geldbeutel;;;Mastercard;T;;N;30,00 €;;30,00;;;
;;;;;;Haushalt;S;;N;30,00 €;;30,00;;1,00;
;;;;;;Mastercard;S;;N;;-30,00 €;;-30,00;;1,00
30.09.2018;Haushalt;;Wäsche;;;Bargeld;T;;N;2,00 €;;2,00;;;
;;;;;;Haushalt;S;;N;2,00 €;;2,00;;1,00;
;;;;;;Bargeld;S;;N;;-2,00 €;;-2,00;;1,00
19.08.2015;Hobbies;;Sony Rx100iii;;;Girokonto;T;;N;694,85 €;;694,85;;;
;;;;;;Hobbies;S;;N;694,85 €;;694,85;;1,00;
;;;;;;Girokonto;S;;N;;-694,85 €;;-694,85;;1,00
24.08.2015;Hobbies;;Sony Tasche;;;Girokonto;T;;N;70,97 €;;70,97;;;
;;;;;;Hobbies;S;;N;70,97 €;;70,97;;1,00;
;;;;;;Girokonto;S;;N;;-70,97 €;;-70,97;;1,00
01.01.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Hobbies;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
11.01.2016;Hobbies;;Farben;;;Girokonto;T;;N;18,87 €;;18,87;;;
;;;;;;Hobbies;S;;N;18,87 €;;18,87;;1,00;
;;;;;;Girokonto;S;;N;;-18,87 €;;-18,87;;1,00
11.01.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Hobbies;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
11.02.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Bargeld;S;;N;;-10,50 €;;-10,50;;1,00
14.02.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Bargeld;S;;N;;-10,50 €;;-10,50;;1,00
23.02.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Bargeld;S;;N;;-10,50 €;;-10,50;;1,00
07.03.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Bargeld;S;;N;;-10,50 €;;-10,50;;1,00
14.03.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Bargeld;S;;N;;-10,50 €;;-10,50;;1,00
25.03.2016;Hobbies;;Sauna;;;Bargeld;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Bargeld;S;;N;;-10,50 €;;-10,50;;1,00
25.04.2016;Hobbies;;Sauna;;;Girokonto;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Girokonto;S;;N;;-10,50 €;;-10,50;;1,00
02.08.2016;Hobbies;;Ultimate Guitar;;;Girokonto;T;;N;3,71 €;;3,71;;;
;;;;;;Hobbies;S;;N;3,71 €;;3,71;;1,00;
;;;;;;Girokonto;S;;N;;-3,71 €;;-3,71;;1,00
02.09.2016;Hobbies;;Ultimate Guitar;;;Girokonto;T;;N;3,71 €;;3,71;;;
;;;;;;Hobbies;S;;N;3,71 €;;3,71;;1,00;
;;;;;;Girokonto;S;;N;;-3,71 €;;-3,71;;1,00
05.10.2016;Hobbies;;Ultimate Guitar;;;Girokonto;T;;N;3,71 €;;3,71;;;
;;;;;;Hobbies;S;;N;3,71 €;;3,71;;1,00;
;;;;;;Girokonto;S;;N;;-3,71 €;;-3,71;;1,00
03.11.2016;Hobbies;;Ultimate Guitar;;;Girokonto;T;;N;3,71 €;;3,71;;;
;;;;;;Hobbies;S;;N;3,71 €;;3,71;;1,00;
;;;;;;Girokonto;S;;N;;-3,71 €;;-3,71;;1,00
07.11.2016;Hobbies;;Sauna;;;Girokonto;T;;N;10,50 €;;10,50;;;
;;;;;;Hobbies;S;;N;10,50 €;;10,50;;1,00;
;;;;;;Girokonto;S;;N;;-10,50 €;;-10,50;;1,00
02.12.2016;Hobbies;;Ultimate Guitar;;;Girokonto;T;;N;3,71 €;;3,71;;;
;;;;;;Hobbies;S;;N;3,71 €;;3,71;;1,00;
;;;;;;Girokonto;S;;N;;-3,71 €;;-3,71;;1,00
03.01.2017;Hobbies;;Ultimate Guitar;;;Girokonto;T;;N;3,71 €;;3,71;;;
;;;;;;Hobbies;S;;N;3,71 €;;3,71;;1,00;
;;;;;;Girokonto;S;;N;;-3,71 €;;-3,71;;1,00
26.02.2017;Hobbies;;Sauna;;;Bargeld;T;;N;20,00 €;;20,00;;;
;;;;;;Hobbies;S;;N;20,00 €;;20,00;;1,00;
;;;;;;Bargeld;S;;N;;-20,00 €;;-20,00;;1,00
30.08.2017;Hobbies;;Surfkurs;;;Bargeld;T;;N;130,00 €;;130,00;;;
;;;;;;Hobbies;S;;N;130,00 €;;130,00;;1,00;
;;;;;;Bargeld;S;;N;;-130,00 €;;-130,00;;1,00
31.08.2017;Hobbies;;Kite Kurs;;;Bargeld;T;;N;105,00 €;;105,00;;;
;;;;;;Hobbies;S;;N;105,00 €;;105,00;;1,00;
;;;;;;Bargeld;S;;N;;-105,00 €;;-105,00;;1,00
27.02.2018;Hobbies;;Schwimmbad;;;Girokonto;T;;N;44,00 €;;44,00;;;
;;;;;;Hobbies;S;;N;44,00 €;;44,00;;1,00;
;;;;;;Girokonto;S;;N;;-44,00 €;;-44,00;;1,00
13.03.2018;Hobbies;;Skihelm;;;Girokonto;T;;N;99,99 €;;99,99;;;
;;;;;;Hobbies;S;;N;99,99 €;;99,99;;1,00;
;;;;;;Girokonto;S;;N;;-99,99 €;;-99,99;;1,00
25.04.2015;Fahrrad;;Garmin Fahrradhalterung;;;Bargeld;T;;N;25,00 €;;25,00;;;
;;;;;;Fahrrad;S;;N;25,00 €;;25,00;;1,00;
;;;;;;Bargeld;S;;N;;-25,00 €;;-25,00;;1,00
05.05.2015;Fahrrad;;Vorderfelge Rennrad;;;Girokonto;T;;N;96,50 €;;96,50;;;
;;;;;;Fahrrad;S;;N;96,50 €;;96,50;;1,00;
;;;;;;Girokonto;S;;N;;-96,50 €;;-96,50;;1,00
10.06.2015;Fahrrad;;Fahrradteile;;;Bargeld;T;;N;-50,00 €;;-50,00;;;
;;;;;;Bargeld;S;;N;;50,00 €;;50,00;;1,00
;;;;;;Fahrrad;S;;N;-50,00 €;;-50,00;;1,00;
27.07.2015;Fahrrad;;Baumarkt;;;Girokonto;T;;N;4,95 €;;4,95;;;
;;;;;;Fahrrad;S;;N;4,95 €;;4,95;;1,00;
;;;;;;Girokonto;S;;N;;-4,95 €;;-4,95;;1,00
11.08.2015;Fahrrad;;Fahrradteile;;;Girokonto;T;;N;61,80 €;;61,80;;;
;;;;;;Fahrrad;S;;N;61,80 €;;61,80;;1,00;
;;;;;;Girokonto;S;;N;;-61,80 €;;-61,80;;1,00
08.10.2015;Fahrrad;;Baumarkt;;;Girokonto;T;;N;26,94 €;;26,94;;;
;;;;;;Fahrrad;S;;N;26,94 €;;26,94;;1,00;
;;;;;;Girokonto;S;;N;;-26,94 €;;-26,94;;1,00
31.03.2016;Fahrrad;;Suunto Kabel;;;Girokonto;T;;N;13,36 €;;13,36;;;
;;;;;;Fahrrad;S;;N;13,36 €;;13,36;;1,00;
;;;;;;Girokonto;S;;N;;-13,36 €;;-13,36;;1,00
05.09.2017;Fahrrad;;Schwalbe Mäntel;;;Girokonto;T;;N;87,70 €;;87,70;;;
;;;;;;Fahrrad;S;;N;87,70 €;;87,70;;1,00;
;;;;;;Girokonto;S;;N;;-87,70 €;;-87,70;;1,00
08.05.2018;Fahrrad;;Fahrradteile;;;Girokonto;T;;N;56,62 €;;56,62;;;
;;;;;;Fahrrad;S;;N;56,62 €;;56,62;;1,00;
;;;;;;Girokonto;S;;N;;-56,62 €;;-56,62;;1,00
05.06.2018;Fahrrad;;Karstadt;;;Girokonto;T;;N;23,90 €;;23,90;;;
;;;;;;Fahrrad;S;;N;23,90 €;;23,90;;1,00;
;;;;;;Girokonto;S;;N;;-23,90 €;;-23,90;;1,00
19.07.2018;Fahrrad;;Ergometer Kettler;;;Girokonto;T;;N;-150,00 €;;-150,00;;;
;;;;;;Girokonto;S;;N;;150,00 €;;150,00;;1,00
;;;;;;Fahrrad;S;;N;-150,00 €;;-150,00;;1,00;
20.07.2018;Fahrrad;;Karstadt;;;Girokonto;T;;N;5,79 €;;5,79;;;
;;;;;;Fahrrad;S;;N;5,79 €;;5,79;;1,00;
;;;;;;Girokonto;S;;N;;-5,79 €;;-5,79;;1,00
09.08.2018;Fahrrad;;Brems/Schalthebel Bike Components;;;Girokonto;T;;N;103,89 €;;103,89;;;
;;;;;;Fahrrad;S;;N;103,89 €;;103,89;;1,00;
;;;;;;Girokonto;S;;N;;-103,89 €;;-103,89;;1,00
18.09.2018;Fahrrad;;Fahrradschloss;;;Mastercard;T;;N;34,95 €;;34,95;;;
;;;;;;Fahrrad;S;;N;34,95 €;;34,95;;1,00;
;;;;;;Mastercard;S;;N;;-34,95 €;;-34,95;;1,00
30.01.2017;Musik;;Amazon;;;Girokonto;T;;N;12,90 €;;12,90;;;
;;;;;;Musik;S;;N;12,90 €;;12,90;;1,00;
;;;;;;Girokonto;S;;N;;-12,90 €;;-12,90;;1,00
31.01.2017;Musik;;Amazon;;;Girokonto;T;;N;8,99 €;;8,99;;;
;;;;;;Musik;S;;N;8,99 €;;8,99;;1,00;
;;;;;;Girokonto;S;;N;;-8,99 €;;-8,99;;1,00
31.01.2017;Musik;;Ultimate Guitar;;;Girokonto;T;;N;29,03 €;;29,03;;;
;;;;;;Musik;S;;N;29,03 €;;29,03;;1,00;
;;;;;;Girokonto;S;;N;;-29,03 €;;-29,03;;1,00
02.02.2017;Musik;;Thomann Fender Squier;;;Girokonto;T;;N;756,40 €;;756,40;;;
;;;;;;Musik;S;;N;756,40 €;;756,40;;1,00;
;;;;;;Girokonto;S;;N;;-756,40 €;;-756,40;;1,00
10.04.2018;Musik;;Sonny Landreth;;;Mastercard;T;;N;37,56 €;;37,56;;;
;;;;;;Musik;S;;N;37,56 €;;37,56;;1,00;
;;;;;;Mastercard;S;;N;;-37,56 €;;-37,56;;1,00
18.04.2018;Musik;;Thomann;;;Girokonto;T;;N;16,69 €;;16,69;;;
;;;;;;Musik;S;;N;16,69 €;;16,69;;1,00;
;;;;;;Girokonto;S;;N;;-16,69 €;;-16,69;;1,00
24.04.2015;Outdoor;;Garmin GPSmap 64;;;Girokonto;T;;N;242,80 €;;242,80;;;
;;;;;;Outdoor;S;;N;242,80 €;;242,80;;1,00;
;;;;;;Girokonto;S;;N;;-242,80 €;;-242,80;;1,00
20.05.2015;Outdoor;;Unterwäsche, Trinkflasche;;;Girokonto;T;;N;208,60 €;;208,60;;;
;;;;;;Outdoor;S;;N;208,60 €;;208,60;;1,00;
;;;;;;Girokonto;S;;N;;-208,60 €;;-208,60;;1,00
26.05.2015;Outdoor;;Div Outdoor;;;Girokonto;T;;N;33,35 €;;33,35;;;
;;;;;;Outdoor;S;;N;33,35 €;;33,35;;1,00;
;;;;;;Girokonto;S;;N;;-33,35 €;;-33,35;;1,00
13.07.2015;Outdoor;;Bergfreunde;;;Girokonto;T;;N;89,85 €;;89,85;;;
;;;;;;Outdoor;S;;N;89,85 €;;89,85;;1,00;
;;;;;;Girokonto;S;;N;;-89,85 €;;-89,85;;1,00
21.07.2015;Outdoor;;Bergzeit;;;Girokonto;T;;N;61,00 €;;61,00;;;
;;;;;;Outdoor;S;;N;61,00 €;;61,00;;1,00;
;;;;;;Girokonto;S;;N;;-61,00 €;;-61,00;;1,00
10.08.2015;Outdoor;;Bergfreunde;;;Girokonto;T;;N;77,97 €;;77,97;;;
;;;;;;Outdoor;S;;N;77,97 €;;77,97;;1,00;
;;;;;;Girokonto;S;;N;;-77,97 €;;-77,97;;1,00
17.08.2015;Outdoor;;Packsack, T-Shirt;;;Girokonto;T;;N;53,23 €;;53,23;;;
;;;;;;Outdoor;S;;N;53,23 €;;53,23;;1,00;
;;;;;;Girokonto;S;;N;;-53,23 €;;-53,23;;1,00
24.08.2015;Outdoor;;Packsack, etc.;;;Girokonto;T;;N;25,85 €;;25,85;;;
;;;;;;Outdoor;S;;N;25,85 €;;25,85;;1,00;
;;;;;;Girokonto;S;;N;;-25,85 €;;-25,85;;1,00
10.09.2015;Outdoor;;Lundhags Hose;;;Girokonto;T;;N;118,00 €;;118,00;;;
;;;;;;Outdoor;S;;N;118,00 €;;118,00;;1,00;
;;;;;;Girokonto;S;;N;;-118,00 €;;-118,00;;1,00
11.09.2015;Outdoor;;Hanwag Schuhe;;;Girokonto;T;;N;199,85 €;;199,85;;;
;;;;;;Outdoor;S;;N;199,85 €;;199,85;;1,00;
;;;;;;Girokonto;S;;N;;-199,85 €;;-199,85;;1,00
27.07.2016;Outdoor;;Draumr;;;Girokonto;T;;N;314,06 €;;314,06;;;
;;;;;;Outdoor;S;;N;314,06 €;;314,06;;1,00;
;;;;;;Girokonto;S;;N;;-314,06 €;;-314,06;;1,00
29.07.2016;Outdoor;;Basislager;;;Girokonto;T;;N;66,90 €;;66,90;;;
;;;;;;Outdoor;S;;N;66,90 €;;66,90;;1,00;
;;;;;;Girokonto;S;;N;;-66,90 €;;-66,90;;1,00
04.08.2016;Outdoor;;Exped Downmate;;;Girokonto;T;;N;207,96 €;;207,96;;;
;;;;;;Outdoor;S;;N;207,96 €;;207,96;;1,00;
;;;;;;Girokonto;S;;N;;-207,96 €;;-207,96;;1,00
15.08.2016;Outdoor;;Basislager;;;Girokonto;T;;N;11,90 €;;11,90;;;
;;;;;;Outdoor;S;;N;11,90 €;;11,90;;1,00;
;;;;;;Girokonto;S;;N;;-11,90 €;;-11,90;;1,00
29.08.2016;Outdoor;;Basislager;;;Girokonto;T;;N;59,80 €;;59,80;;;
;;;;;;Outdoor;S;;N;59,80 €;;59,80;;1,00;
;;;;;;Girokonto;S;;N;;-59,80 €;;-59,80;;1,00
28.09.2016;Outdoor;;Meindl Schuhe;;;Girokonto;T;;N;209,95 €;;209,95;;;
;;;;;;Outdoor;S;;N;209,95 €;;209,95;;1,00;
;;;;;;Girokonto;S;;N;;-209,95 €;;-209,95;;1,00
14.11.2016;Outdoor;;Bergfreunde;;;Girokonto;T;;N;99,98 €;;99,98;;;
;;;;;;Outdoor;S;;N;99,98 €;;99,98;;1,00;
;;;;;;Girokonto;S;;N;;-99,98 €;;-99,98;;1,00
29.12.2016;Outdoor;;Alpenverein;;;Girokonto;T;;N;21,00 €;;21,00;;;
;;;;;;Outdoor;S;;N;21,00 €;;21,00;;1,00;
;;;;;;Girokonto;S;;N;;-21,00 €;;-21,00;;1,00
11.01.2017;Outdoor;;Alpenverein;;;Girokonto;T;;N;75,00 €;;75,00;;;
;;;;;;Outdoor;S;;N;75,00 €;;75,00;;1,00;
;;;;;;Girokonto;S;;N;;-75,00 €;;-75,00;;1,00
17.01.2017;Outdoor;;Basislager;;;Girokonto;T;;N;100,00 €;;100,00;;;
;;;;;;Outdoor;S;;N;100,00 €;;100,00;;1,00;
;;;;;;Girokonto;S;;N;;-100,00 €;;-100,00;;1,00
17.01.2017;Outdoor;;Basislager Gutschein;;;Girokonto;T;;N;290,00 €;;290,00;;;
;;;;;;Outdoor;S;;N;290,00 €;;290,00;;1,00;
;;;;;;Girokonto;S;;N;;-290,00 €;;-290,00;;1,00
24.01.2017;Outdoor;;Bergfreunde;;;Girokonto;T;;N;2,45 €;;2,45;;;
;;;;;;Outdoor;S;;N;2,45 €;;2,45;;1,00;
;;;;;;Girokonto;S;;N;;-2,45 €;;-2,45;;1,00
08.02.2017;Outdoor;;Skistiefel Bergzeit;;;Girokonto;T;;N;349,00 €;;349,00;;;
;;;;;;Outdoor;S;;N;349,00 €;;349,00;;1,00;
;;;;;;Girokonto;S;;N;;-349,00 €;;-349,00;;1,00
22.03.2017;Outdoor;;Rucksack Bergfreunde;;;Girokonto;T;;N;64,98 €;;64,98;;;
;;;;;;Outdoor;S;;N;64,98 €;;64,98;;1,00;
;;;;;;Girokonto;S;;N;;-64,98 €;;-64,98;;1,00
22.03.2017;Outdoor;;Tourenski Sport Engelhorn;;;Girokonto;T;;N;702,80 €;;702,80;;;
;;;;;;Outdoor;S;;N;702,80 €;;702,80;;1,00;
;;;;;;Girokonto;S;;N;;-702,80 €;;-702,80;;1,00
28.03.2017;Outdoor;;Sonnenbrille Basislager;;;Girokonto;T;;N;59,95 €;;59,95;;;
;;;;;;Outdoor;S;;N;59,95 €;;59,95;;1,00;
